Cycle,Cycle_squared,Cycle_sqrt,Current_A,Voltage_V,Temperature_C,Voltage_Current,Temp_Current
374,139876,19.339079605813716,0.955,3.842,26.71,3.66911,25.50805
374,139876,19.339079605813716,1.321,3.755,32.86,4.960355,43.40806
381,145161,19.519221295943137,0.949,3.743,21.88,3.552107,20.76412
389,151321,19.72308292331602,0.648,3.762,30.92,2.437776,20.036160000000002
399,159201,19.974984355438178,1.051,3.739,28.36,3.9296889999999998,29.806359999999998
402,161604,20.049937655763422,0.838,3.638,28.42,3.048644,23.81596
410,168100,20.248456731316587,0.936,3.831,30.18,3.5858160000000003,28.24848
412,169744,20.29778313018444,0.927,3.71,29.41,3.4391700000000003,27.263070000000003
424,179776,20.591260281974,1.309,3.639,26.96,4.763451,35.290639999999996
427,182329,20.663978319771825,1.094,3.819,30.34,4.177986000000001,33.19196
427,182329,20.663978319771825,1.311,3.734,31.04,4.895274,40.693439999999995
432,186624,20.784609690826528,1.331,3.745,26.01,4.984595,34.61931
440,193600,20.97617696340303,1.179,3.694,30.74,4.355226,36.24246
447,199809,21.142374511865974,0.826,3.657,29.26,3.020682,24.16876
448,200704,21.166010488516726,1.006,3.63,27.08,3.65178,27.242479999999997
461,212521,21.470910553583888,1.075,3.739,24.7,4.019425,26.5525
463,214369,21.517434791350013,1.122,3.657,29.48,4.103154000000001,33.07656
478,228484,21.863211109075447,0.869,3.593,33.13,3.122317,28.78997
485,235225,22.02271554554524,1.231,3.665,27.2,4.511615000000001,33.483200000000004
509,259081,22.561028345356956,1.055,3.667,30.88,3.8686849999999997,32.578399999999995
511,261121,22.60530911091463,1.239,3.656,26.35,4.529784,32.647650000000006
515,265225,22.693611435820433,1.141,3.784,29.71,4.317544,33.89911
523,273529,22.869193252058544,1.241,3.783,28.91,4.6947030000000005,35.87731
524,274576,22.891046284519195,1.031,3.806,31.43,3.9239859999999998,32.404329999999995
529,279841,23.0,0.428,3.651,26.21,1.562628,11.217880000000001
534,285156,23.108440016582687,1.116,3.706,25.65,4.135896000000001,28.625400000000003
546,298116,23.366642891095847,0.737,3.722,24.06,2.743114,17.732219999999998
557,310249,23.600847442411894,1.169,3.741,32.54,4.373229,38.03926
564,318096,23.748684174075834,1.143,3.465,34.65,3.960495,39.60495
567,321489,23.811761799581316,1.024,3.672,27.68,3.7601280000000004,28.34432
568,322624,23.83275057562597,1.253,3.785,32.75,4.742605,41.03574999999999
571,326041,23.895606290697042,1.126,3.583,33.33,4.034458,37.529579999999996
572,327184,23.916521486202797,0.885,3.676,36.98,3.25326,32.7273
582,338724,24.124676163629637,0.926,3.552,33.47,3.289152,30.99322
587,344569,24.228082879171435,1.1,3.81,32.22,4.191000000000001,35.442
599,358801,24.474476501040833,1.093,3.849,34.72,4.206957,37.94896
612,374544,24.73863375370596,0.854,3.757,33.95,3.208478,28.9933
620,384400,24.899799195977465,1.209,3.68,30.58,4.449120000000001,36.97122
627,393129,25.03996805109783,0.83,3.635,34.62,3.01705,28.734599999999997
630,396900,25.099800796022265,0.82,3.677,31.8,3.0151399999999997,26.076
639,408321,25.278449319529077,1.072,3.706,30.41,3.9728320000000004,32.599520000000005
653,426409,25.553864678361276,0.967,3.712,33.3,3.5895040000000003,32.2011
663,439569,25.748786379167466,0.588,3.782,35.07,2.223816,20.62116
672,451584,25.92296279363144,0.9,3.804,37.4,3.4236,33.66
677,458329,26.019223662515376,1.098,3.657,31.97,4.015386,35.10306
677,458329,26.019223662515376,0.804,3.658,29.64,2.9410320000000003,23.830560000000002
678,459684,26.038433132583073,1.371,3.87,29.86,5.30577,40.93806
680,462400,26.076809620810597,1.135,3.623,30.63,4.112105000000001,34.76505
695,483025,26.362852652928137,0.646,3.735,28.24,2.41281,18.24304
711,505521,26.664583251946766,1.019,3.682,33.31,3.7519579999999997,33.94289
711,505521,26.664583251946766,0.628,3.644,29.34,2.2884320000000002,18.42552
711,505521,26.664583251946766,0.704,3.826,33.07,2.693504,23.28128
720,518400,26.832815729997478,0.989,3.792,33.85,3.750288,33.477650000000004
721,519841,26.851443164195103,0.686,3.656,35.63,2.5080160000000005,24.442180000000004
726,527076,26.94438717061496,1.066,3.626,26.36,3.865316,28.09976
729,531441,27.0,0.676,3.669,28.06,2.4802440000000003,18.96856
734,538756,27.09243436828813,0.875,3.731,33.08,3.2646249999999997,28.945
736,541696,27.129319932501073,0.783,3.555,27.43,2.7835650000000003,21.47769
737,543169,27.147743920996454,0.899,3.619,35.26,3.2534810000000003,31.698739999999997
757,573049,27.51363298439521,1.019,3.724,33.56,3.794756,34.19764
761,579121,27.586228448267445,1.206,3.734,33.91,4.503204,40.89545999999999
761,579121,27.586228448267445,0.961,3.676,32.47,3.532636,31.20367
762,580644,27.60434748368452,0.763,3.732,31.35,2.847516,23.92005
771,594441,27.76688675382964,0.912,3.769,34.57,3.4373280000000004,31.52784
777,603729,27.874719729532707,1.125,3.628,35.81,4.0815,40.28625
779,606841,27.910571473905726,0.936,3.765,29.1,3.5240400000000003,27.237600000000004
780,608400,27.92848008753788,0.945,3.747,33.06,3.5409149999999996,31.2417
792,627264,28.142494558940577,1.156,3.728,29.63,4.309568,34.25228
793,628849,28.160255680657446,0.866,3.783,27.44,3.276078,23.76304
802,643204,28.319604517012593,0.954,3.599,27.32,3.433446,26.06328
822,675684,28.6705423736629,0.842,3.546,35.06,2.9857319999999996,29.52052
828,685584,28.77498913987632,0.976,3.776,32.14,3.6853759999999998,31.36864
831,690561,28.827070610799147,0.854,3.573,37.56,3.051342,32.07624
842,708964,29.017236257093817,1.181,3.511,30.39,4.146491,35.89059
847,717409,29.103264421710495,0.875,3.767,32.76,3.296125,28.665
849,720801,29.13760456866693,1.008,3.789,34.1,3.819312,34.372800000000005
862,743044,29.359836511806396,1.075,3.731,33.76,4.010825,36.291999999999994
870,756900,29.49576240750525,1.29,3.586,29.67,4.62594,38.274300000000004
873,762129,29.546573405388315,1.03,3.777,38.79,3.8903100000000004,39.9537
895,801025,29.916550603303182,0.964,3.526,34.49,3.3990639999999996,33.24836
904,817216,30.066592756745816,1.036,3.896,35.36,4.036256,36.63296
907,822649,30.116440692751194,1.337,3.685,35.18,4.926845,47.03566
911,829921,30.18277654557314,0.708,3.777,32.73,2.674116,23.172839999999997
913,833569,30.215889859476256,1.304,3.72,36.47,4.85088,47.55688
917,840889,30.28200785945344,0.849,3.543,35.82,3.008007,30.411179999999998
919,844561,30.315012782448235,0.693,3.684,36.07,2.553012,24.996509999999997
923,851929,30.380915061926625,0.905,3.797,35.47,3.4362850000000003,32.10035
925,855625,30.4138126514911,1.001,3.726,37.02,3.7297259999999994,37.05702
928,861184,30.463092423455635,1.127,3.749,30.35,4.225123,34.20445
943,889249,30.708305065568176,0.927,3.783,36.69,3.506841,34.01163
959,919681,30.967725134404045,1.182,3.673,37.31,4.341486,44.10042
961,923521,31.0,0.984,3.706,33.23,3.6467039999999997,32.698319999999995
961,923521,31.0,0.784,3.606,30.5,2.827104,23.912000000000003
973,946729,31.192947920964443,1.018,3.628,34.13,3.6933040000000004,34.74434
982,964324,31.336879231984796,1.25,3.683,33.28,4.60375,41.6
996,992016,31.559467676119,0.642,3.718,32.02,2.386956,20.55684
999,998001,31.606961258558215,1.118,3.645,37.33,4.0751100000000005,41.73494
21,441,4.58257569495584,0.752,3.608,25.31,2.713216,19.03312
25,625,5.0,0.961,3.847,21.34,3.696967,20.50774
27,729,5.196152422706632,1.185,3.802,23.11,4.50537,27.38535
53,2809,7.280109889280518,0.999,3.761,22.08,3.757239,22.05792
57,3249,7.54983443527075,0.679,3.779,18.89,2.565941,12.826310000000001
62,3844,7.874007874011811,1.21,3.639,26.37,4.4031899999999995,31.907700000000002
63,3969,7.937253933193772,0.92,3.836,28.86,3.52912,26.5512
74,5476,8.602325267042627,0.924,3.738,27.83,3.4539120000000003,25.71492
78,6084,8.831760866327848,0.918,3.749,27.77,3.4415820000000004,25.49286
78,6084,8.831760866327848,0.958,3.812,27.09,3.651896,25.95222
102,10404,10.099504938362077,0.998,3.623,31.84,3.6157540000000004,31.77632
103,10609,10.14889156509222,1.08,3.658,25.77,3.9506400000000004,27.8316
103,10609,10.14889156509222,1.108,3.754,25.03,4.159432000000001,27.733240000000002
112,12544,10.583005244258363,1.041,3.81,31.9,3.96621,33.207899999999995
114,12996,10.677078252031311,1.103,3.708,28.44,4.089924,31.369320000000002
120,14400,10.954451150103322,0.976,3.692,26.08,3.603392,25.454079999999998
122,14884,11.045361017187261,0.94,3.657,26.75,3.4375799999999996,25.145
131,17161,11.445523142259598,1.347,3.717,25.3,5.006799,34.0791
131,17161,11.445523142259598,0.976,3.765,25.92,3.67464,25.29792
138,19044,11.74734012447073,0.896,3.723,26.29,3.335808,23.55584
158,24964,12.569805089976535,0.615,3.746,26.05,2.30379,16.02075
159,25281,12.609520212918492,1.209,3.539,33.58,4.278651000000001,40.59822
172,29584,13.114877048604,1.222,3.712,24.62,4.5360640000000005,30.08564
178,31684,13.341664064126334,1.161,3.804,24.11,4.416444,27.99171
178,31684,13.341664064126334,1.11,3.77,23.74,4.1847,26.3514
180,32400,13.416407864998739,0.878,3.721,22.68,3.267038,19.91304
184,33856,13.564659966250536,1.093,3.707,29.1,4.051750999999999,31.8063
196,38416,14.0,0.742,3.748,26.85,2.781016,19.922700000000003
198,39204,14.071247279470288,0.806,3.708,26.06,2.9886480000000004,21.004360000000002
201,40401,14.177446878757825,0.756,3.737,29.17,2.8251720000000002,22.05252
202,40804,14.212670403551895,1.049,3.733,23.49,3.915917,24.641009999999998
204,41616,14.2828568570857,0.449,3.572,24.69,1.603828,11.08581
205,42025,14.317821063276353,0.828,3.621,30.37,2.998188,25.146359999999998
212,44944,14.560219778561036,0.822,3.735,25.32,3.0701699999999996,20.813039999999997
218,47524,14.7648230602334,1.051,3.837,25.22,4.032687,26.506219999999995
219,47961,14.798648586948742,1.15,3.812,26.39,4.383799999999999,30.348499999999998
220,48400,14.832396974191326,0.834,3.732,27.89,3.112488,23.26026
234,54756,15.297058540778355,0.905,3.676,26.27,3.3267800000000003,23.774350000000002
243,59049,15.588457268119896,1.031,3.719,25.09,3.8342889999999996,25.86779
245,60025,15.652475842498529,0.991,3.714,27.1,3.680574,26.8561
249,62001,15.7797338380595,1.186,3.613,24.25,4.285018,28.7605
250,62500,15.811388300841896,0.985,3.804,28.71,3.74694,28.27935
256,65536,16.0,1.253,3.602,29.87,4.513305999999999,37.42711
256,65536,16.0,0.746,3.743,26.3,2.792278,19.6198
258,66564,16.06237840420901,1.128,3.509,29.47,3.9581519999999997,33.24216
269,72361,16.401219466856727,1.181,3.74,27.15,4.41694,32.06415
271,73441,16.46207763315433,0.786,3.713,30.72,2.9184180000000004,24.14592
275,75625,16.583123951777,1.005,3.643,30.18,3.6612149999999994,30.330899999999996
297,88209,17.233687939614086,0.765,3.692,30.94,2.82438,23.6691
299,89401,17.291616465790582,0.712,3.662,29.01,2.607344,20.65512
308,94864,17.549928774784245,1.142,3.751,33.17,4.2836419999999995,37.88014
309,95481,17.578395831246947,1.261,3.654,33.38,4.6076939999999995,42.09218
314,98596,17.72004514666935,0.737,3.789,27.96,2.792493,20.60652
321,103041,17.916472867168917,0.972,3.715,29.53,3.6109799999999996,28.70316
335,112225,18.303005217723125,1.177,3.752,23.62,4.416104,27.80074
345,119025,18.57417562100671,1.162,3.807,30.94,4.423734,35.95228
347,120409,18.627936010197157,0.966,3.841,27.96,3.710406,27.00936
355,126025,18.841443681416774,0.875,3.694,27.61,3.23225,24.158749999999998
365,133225,19.1049731745428,0.843,3.738,30.6,3.151134,25.7958
366,133956,19.131126469708992,0.895,3.613,32.56,3.233635,29.1412
367,134689,19.157244060668017,0.807,3.666,30.35,2.958462,24.49245
367,134689,19.157244060668017,1.03,3.648,29.08,3.7574400000000003,29.952399999999997
369,136161,19.209372712298546,1.293,3.755,27.13,4.855214999999999,35.079089999999994
376,141376,19.390719429665317,1.271,3.684,27.35,4.682364,34.76185
383,146689,19.570385790780925,1.237,3.688,24.87,4.562056000000001,30.764190000000003
387,149769,19.672315572906,0.983,3.686,27.57,3.623338,27.10131
392,153664,19.79898987322333,1.05,3.723,28.59,3.90915,30.0195
394,155236,19.849433241279208,1.155,3.604,28.44,4.16262,32.848200000000006
399,159201,19.974984355438178,0.948,3.84,25.06,3.6403199999999996,23.75688
404,163216,20.09975124224178,1.0,3.764,26.1,3.764,26.1
415,172225,20.37154878746336,0.856,3.662,28.78,3.1346719999999997,24.63568
417,173889,20.42057785666214,1.412,3.734,30.9,5.2724079999999995,43.630799999999994
418,174724,20.445048300260872,0.944,3.745,26.25,3.5352799999999998,24.779999999999998
418,174724,20.445048300260872,0.944,3.726,26.25,3.5173439999999996,24.779999999999998
419,175561,20.46948949045872,0.868,3.653,26.23,3.170804,22.76764
419,175561,20.46948949045872,1.059,3.718,38.74,3.937362,41.02566
420,176400,20.493901531919196,0.541,3.762,31.89,2.035242,17.25249
435,189225,20.85665361461421,1.013,3.694,30.09,3.7420219999999995,30.481169999999995
438,191844,20.92844953645635,0.968,3.521,34.07,3.408328,32.97976
441,194481,21.0,1.0,3.795,30.25,3.795,30.25
454,206116,21.307275752662516,1.034,3.507,27.94,3.6262380000000003,28.889960000000002
466,217156,21.587033144922902,0.902,3.66,28.8,3.30132,25.977600000000002
467,218089,21.61018278497431,0.724,3.644,25.78,2.638256,18.66472
479,229441,21.88606862823929,0.765,3.672,31.89,2.8090800000000002,24.39585
483,233289,21.97726097583591,0.719,3.808,31.07,2.737952,22.33933
501,251001,22.38302928559939,1.133,3.654,29.34,4.139982,33.24222
509,259081,22.561028345356956,0.851,3.508,32.78,2.985308,27.895780000000002
510,260100,22.58317958127243,1.035,3.831,32.08,3.9650849999999997,33.202799999999996
518,268324,22.759613353482084,1.079,3.786,27.62,4.085094,29.80198
524,274576,22.891046284519195,1.093,3.665,29.26,4.005845,31.981180000000002
525,275625,22.9128784747792,0.913,3.775,28.75,3.446575,26.24875
525,275625,22.9128784747792,0.834,3.816,28.48,3.1825439999999996,23.75232
528,278784,22.978250586152114,0.922,3.732,35.17,3.440904,32.42674
531,281961,23.043437243605826,0.921,3.738,32.31,3.442698,29.757510000000003
537,288369,23.173260452512935,0.875,3.573,30.05,3.126375,26.29375
544,295936,23.323807579381203,0.939,3.688,30.11,3.463032,28.27329
549,301401,23.430749027719962,0.952,3.711,33.39,3.532872,31.78728
550,302500,23.45207879911715,1.151,3.451,31.68,3.9721010000000003,36.463680000000004
569,323761,23.853720883753127,0.898,3.604,36.57,3.236392,32.83986
588,345744,24.24871130596428,1.246,3.777,25.69,4.706142,32.00974
595,354025,24.392621835300936,1.015,3.777,28.32,3.833655,28.744799999999998
605,366025,24.596747752497688,1.088,3.729,30.18,4.057152,32.835840000000005
613,375769,24.758836806279895,1.031,3.822,28.23,3.940482,29.10513
616,379456,24.819347291981714,1.254,3.599,32.16,4.513146,40.32863999999999
616,379456,24.819347291981714,0.824,3.781,28.07,3.115544,23.12968
620,384400,24.899799195977465,1.31,3.847,31.22,5.03957,40.8982
627,393129,25.03996805109783,1.139,3.832,28.63,4.364648,32.60957
639,408321,25.278449319529077,0.994,3.713,35.2,3.690722,34.988800000000005
648,419904,25.45584412271571,0.764,3.62,30.51,2.76568,23.30964
656,430336,25.612496949731394,1.26,3.593,36.72,4.52718,46.267199999999995
663,439569,25.748786379167466,0.716,3.604,36.52,2.580464,26.148320000000002
677,458329,26.019223662515376,0.897,3.747,32.93,3.361059,29.53821
677,458329,26.019223662515376,1.122,3.72,31.56,4.17384,35.41032
680,462400,26.076809620810597,1.021,3.742,30.26,3.8205819999999995,30.89546
690,476100,26.267851073127396,0.883,3.682,27.58,3.251206,24.35314
690,476100,26.267851073127396,1.177,3.738,31.46,4.3996260000000005,37.028420000000004
693,480249,26.324893162176366,1.199,3.752,33.47,4.498648,40.13053
699,488601,26.43860813280457,1.325,3.728,30.43,4.9396,40.31975
703,494209,26.514147167125703,0.727,3.702,35.05,2.691354,25.481349999999996
710,504100,26.645825188948457,0.969,3.83,33.07,3.71127,32.04483
712,506944,26.68332812825267,0.917,3.651,28.62,3.347967,26.24454
715,511225,26.739483914241877,0.823,3.615,29.35,2.975145,24.15505
723,522729,26.888659319497503,0.691,3.583,34.29,2.475853,23.69439
726,527076,26.94438717061496,1.341,3.719,31.52,4.987178999999999,42.268319999999996
730,532900,27.018512172212592,1.077,3.719,38.43,4.005363,41.389109999999995
735,540225,27.110883423451916,1.194,3.623,30.13,4.325862,35.97522
736,541696,27.129319932501073,1.219,3.558,33.47,4.3372020000000004,40.79993
748,559504,27.349588662354687,1.004,3.63,31.02,3.64452,31.14408
754,568516,27.459060435491963,0.862,3.799,34.51,3.2747379999999997,29.747619999999998
756,571536,27.49545416973504,0.833,3.887,30.21,3.2378709999999997,25.16493
769,591361,27.730849247724095,0.63,3.743,31.04,2.35809,19.5552
772,595984,27.784887978899608,0.937,3.651,34.6,3.4209870000000002,32.4202
778,605284,27.892651361962706,1.211,3.776,39.83,4.572736,48.23413
778,605284,27.892651361962706,1.366,3.797,36.39,5.186702,49.708740000000006
791,625681,28.124722220850465,0.793,3.909,36.01,3.099837,28.55593
791,625681,28.124722220850465,0.977,3.62,31.69,3.53674,30.96113
799,638401,28.26658805020514,1.013,3.733,36.29,3.781529,36.76177
802,643204,28.319604517012593,1.32,3.825,39.76,5.049,52.4832
811,657721,28.478061731796284,1.334,3.704,34.54,4.941136,46.07636
817,667489,28.583211855912904,1.356,3.567,31.6,4.836852,42.8496
822,675684,28.6705423736629,1.058,3.76,28.87,3.97808,30.54446
826,682276,28.74021572639983,1.103,3.663,35.53,4.040289,39.18959
827,683929,28.75760768909681,1.222,3.741,31.9,4.571502,38.9818
828,685584,28.77498913987632,1.25,3.74,31.73,4.675000000000001,39.6625
834,695556,28.879058156387302,1.109,3.79,34.76,4.20311,38.54884
852,725904,29.189039038652847,0.774,3.69,36.03,2.85606,27.887220000000003
855,731025,29.24038303442689,1.02,3.693,33.95,3.7668600000000003,34.629000000000005
864,746496,29.393876913398138,0.911,3.762,33.56,3.427182,30.57316
867,751689,29.444863728670914,1.021,3.573,36.68,3.6480329999999994,37.45028
872,760384,29.5296461204668,1.512,3.735,38.74,5.64732,58.57488
883,779689,29.715315916207253,0.831,3.772,36.79,3.1345319999999997,30.57249
884,781456,29.732137494637012,0.99,3.857,30.26,3.81843,29.9574
889,790321,29.816103031751148,0.801,3.636,32.39,2.9124360000000005,25.944390000000002
893,797449,29.88310559496787,1.01,3.658,35.23,3.6945799999999998,35.5823
894,799236,29.899832775452108,0.875,3.701,34.17,3.238375,29.89875
896,802816,29.93325909419153,0.953,3.72,33.98,3.54516,32.38294
910,828100,30.166206257996713,1.144,3.713,37.08,4.247672,42.41951999999999
912,831744,30.199337741083,1.337,3.919,30.03,5.2397029999999996,40.15011
913,833569,30.215889859476256,1.095,3.704,37.62,4.05588,41.1939
913,833569,30.215889859476256,1.472,3.776,33.54,5.558272,49.37088
914,835396,30.23243291566195,1.218,3.771,29.75,4.593078,36.2355
914,835396,30.23243291566195,0.965,3.651,35.89,3.5232149999999995,34.63385
915,837225,30.24896692450835,1.119,3.749,29.91,4.195131,33.46929
921,848241,30.347981810987037,0.861,3.639,29.66,3.1331789999999997,25.53726
924,853776,30.397368307141328,1.14,3.695,36.07,4.212299999999999,41.1198
925,855625,30.4138126514911,1.201,3.84,34.31,4.61184,41.20631
928,861184,30.463092423455635,1.066,3.788,33.48,4.038008,35.689679999999996
930,864900,30.495901363953813,0.989,3.589,37.42,3.549521,37.00838
934,872356,30.56141357987225,0.953,3.721,33.23,3.546113,31.668189999999996
935,874225,30.577769702841312,1.122,3.799,33.52,4.262478000000001,37.609440000000006
935,874225,30.577769702841312,0.588,3.846,31.78,2.261448,18.68664
937,877969,30.610455730027933,0.557,3.796,34.62,2.114372,19.28334
937,877969,30.610455730027933,1.354,3.714,36.23,5.0287560000000004,49.05542
938,879844,30.62678566222711,0.986,3.567,33.98,3.517062,33.504279999999994
938,879844,30.62678566222711,0.933,3.695,34.37,3.447435,32.06721
941,885481,30.675723300355934,0.915,3.651,33.86,3.340665,30.9819
942,887364,30.692018506445613,0.981,3.729,35.86,3.658149,35.17866
944,891136,30.72458299147443,1.204,3.646,31.23,4.389784,37.60092
952,906304,30.854497241083024,1.233,3.698,38.36,4.559634,47.297880000000006
955,912025,30.903074280724887,1.285,3.61,37.47,4.63885,48.14894999999999
956,913936,30.919249667480614,1.282,3.751,39.08,4.808782,50.10056
963,927369,31.0322412983658,0.754,3.662,37.21,2.761148,28.056340000000002
975,950625,31.22498999199199,1.348,3.672,32.43,4.9498560000000005,43.71564
976,952576,31.240998703626616,1.278,3.65,33.84,4.6647,43.24752000000001
979,958441,31.28897569432403,0.666,3.681,37.57,2.451546,25.021620000000002
984,968256,31.368774282716245,1.122,3.883,35.16,4.356726,39.44952
985,970225,31.38470965295043,0.891,3.671,31.34,3.270861,27.92394
986,972196,31.400636936215164,0.71,3.696,35.62,2.62416,25.2902
991,982081,31.480152477394387,1.162,3.725,29.33,4.32845,34.08145999999999
11,121,3.3166247903554,1.162,3.584,32.5,4.164607999999999,37.765
21,441,4.58257569495584,0.958,3.875,27.35,3.71225,26.2013
30,900,5.477225575051661,0.921,3.742,26.78,3.4463820000000003,24.66438
39,1521,6.244997998398398,1.147,3.746,26.46,4.296662,30.34962
40,1600,6.324555320336759,0.833,3.717,21.18,3.0962609999999997,17.64294
49,2401,7.0,1.338,3.733,26.83,4.994754,35.89854
50,2500,7.0710678118654755,0.867,3.737,22.29,3.239979,19.32543
53,2809,7.280109889280518,1.105,3.7,24.88,4.0885,27.4924
66,4356,8.12403840463596,0.893,3.579,27.31,3.196047,24.38783
69,4761,8.306623862918075,0.734,3.765,19.63,2.76351,14.40842
79,6241,8.888194417315589,1.049,3.678,26.0,3.8582219999999996,27.273999999999997
81,6561,9.0,0.942,3.68,27.4,3.46656,25.810799999999997
89,7921,9.433981132056603,0.704,3.569,24.82,2.5125759999999997,17.47328
93,8649,9.643650760992955,0.633,3.754,27.44,2.3762820000000002,17.36952
104,10816,10.198039027185569,1.29,3.657,24.4,4.71753,31.476
116,13456,10.770329614269007,1.105,3.738,25.16,4.13049,27.8018
118,13924,10.862780491200215,1.316,3.689,21.74,4.854724,28.60984
122,14884,11.045361017187261,1.066,3.747,21.27,3.9943020000000002,22.67382
123,15129,11.090536506409418,1.347,3.839,22.67,5.171133,30.53649
142,20164,11.916375287812984,0.968,3.782,24.23,3.660976,23.45464
183,33489,13.527749258468683,0.88,3.675,28.51,3.234,25.088800000000003
187,34969,13.674794331177344,0.654,3.82,23.5,2.49828,15.369
188,35344,13.711309200802088,0.795,3.788,30.06,3.01146,23.8977
188,35344,13.711309200802088,1.195,3.769,26.95,4.503955,32.20525
191,36481,13.820274961085254,0.759,3.758,24.38,2.852322,18.50442
209,43681,14.45683229480096,0.988,3.685,29.78,3.64078,29.42264
215,46225,14.66287829861518,1.643,3.759,24.12,6.176037,39.62916
220,48400,14.832396974191326,0.704,3.818,24.62,2.687872,17.33248
226,51076,15.033296378372908,1.099,3.761,24.93,4.133339,27.39807
231,53361,15.198684153570664,1.271,3.731,24.55,4.742101,31.203049999999998
