Cell_ID,Cycle,Discharge_Capacity_mAh,Current_A,Voltage_V,Temperature_C
cell_001,399,1247.8665131320577,1.051,3.739,28.36
cell_001,402,1174.3496917935618,0.838,3.638,28.42
cell_001,410,1129.2140148527687,0.936,3.831,30.18
cell_001,412,1230.133111309775,0.927,3.71,29.41
cell_001,424,1123.6239661001337,1.309,3.639,26.96
cell_001,427,1139.3310800603708,1.094,3.819,30.34
cell_001,427,1121.4178772446078,1.311,3.734,31.04
cell_001,432,1175.6005486222898,1.331,3.745,26.01
cell_001,440,1191.1076497967697,1.179,3.694,30.74
cell_001,447,1150.878860591013,0.826,3.657,29.26
cell_001,448,1162.448471520783,1.006,3.63,27.08
cell_001,461,1120.3335333574107,1.075,3.739,24.7
cell_001,463,1134.9758951364988,1.122,3.657,29.48
cell_001,478,1075.5468556531239,0.869,3.593,33.13
cell_001,485,1101.7136278407133,1.231,3.665,27.2
cell_001,509,1048.4980302414062,1.055,3.667,30.88
cell_001,511,1070.9245302176357,1.239,3.656,26.35
cell_001,515,1092.9570913920609,1.141,3.784,29.71
cell_001,523,1035.8698539184863,1.241,3.783,28.91
cell_001,524,1046.5370554238089,1.031,3.806,31.43
cell_001,529,1003.5063873321716,0.428,3.651,26.21
cell_001,534,1076.2361414447096,1.116,3.706,25.65
cell_001,546,959.4593136029132,0.737,3.722,24.06
cell_001,557,995.7841798021047,1.169,3.741,32.54
cell_001,564,971.2688673551226,1.143,3.465,34.65
cell_001,567,933.7971938746822,1.024,3.672,27.68
cell_001,568,1005.5584133408099,1.253,3.785,32.75
cell_001,571,984.0328307601563,1.126,3.583,33.33
cell_001,572,953.2125046918953,0.885,3.676,36.98
cell_001,582,926.181526781337,0.926,3.552,33.47
cell_001,587,899.1546252923251,1.1,3.81,32.22
cell_001,599,894.0021223022005,1.093,3.849,34.72
cell_001,612,823.8878984793942,0.854,3.757,33.95
cell_001,620,899.0539574498591,1.209,3.68,30.58
cell_001,627,913.0838473856935,0.83,3.635,34.62
cell_001,630,833.49946525087,0.82,3.677,31.8
cell_001,639,873.4569296321876,1.072,3.706,30.41
cell_001,653,853.5804372024501,0.967,3.712,33.3
cell_001,663,860.344352767154,0.588,3.782,35.07
cell_001,672,799.0355558310628,0.9,3.804,37.4
cell_001,677,808.8373361969151,1.098,3.657,31.97
cell_001,677,810.8180653490577,0.804,3.658,29.64
cell_001,678,837.3753809829974,1.371,3.87,29.86
cell_001,680,797.3473266374538,1.135,3.623,30.63
cell_001,695,740.6436356371995,0.646,3.735,28.24
cell_001,711,802.4517620691066,1.019,3.682,33.31
cell_001,711,764.1753491644573,0.628,3.644,29.34
cell_001,711,722.0923809333733,0.704,3.826,33.07
cell_001,720,794.504557155033,0.989,3.792,33.85
cell_001,721,755.554945134406,0.686,3.656,35.63
cell_001,726,742.199926408182,1.066,3.626,26.36
cell_001,729,758.7364672662006,0.676,3.669,28.06
cell_001,734,775.9293719050346,0.875,3.731,33.08
cell_001,736,729.2591858273892,0.783,3.555,27.43
cell_001,737,708.0900519586704,0.899,3.619,35.26
cell_001,757,731.8962316633905,1.019,3.724,33.56
cell_001,761,644.2544368782083,1.206,3.734,33.91
cell_001,761,642.3978522673375,0.961,3.676,32.47
cell_001,762,740.6681364078572,0.763,3.732,31.35
cell_001,771,700.579480146958,0.912,3.769,34.57
cell_001,777,687.0138290221,1.125,3.628,35.81
cell_001,779,651.2330519913802,0.936,3.765,29.1
cell_001,780,646.05101469291,0.945,3.747,33.06
cell_001,792,683.309903249863,1.156,3.728,29.63
cell_001,793,668.9176153236575,0.866,3.783,27.44
cell_001,802,670.5532145942453,0.954,3.599,27.32
cell_001,822,609.7704946563858,0.842,3.546,35.06
cell_001,828,570.2869776677411,0.976,3.776,32.14
cell_001,831,569.3051964788364,0.854,3.573,37.56
cell_001,842,598.4046149514561,1.181,3.511,30.39
cell_001,847,620.6473930822939,0.875,3.767,32.76
cell_001,849,598.7783212763768,1.008,3.789,34.1
cell_001,862,571.3385807659852,1.075,3.731,33.76
cell_001,870,547.5002982857917,1.29,3.586,29.67
cell_001,873,550.1779899986309,1.03,3.777,38.79
cell_001,895,479.9802204026063,0.964,3.526,34.49
cell_001,904,532.2977290764996,1.036,3.896,35.36
cell_001,907,533.6677699064577,1.337,3.685,35.18
cell_001,911,463.7349478779516,0.708,3.777,32.73
cell_001,913,541.5019745651241,1.304,3.72,36.47
cell_001,917,480.27600717981403,0.849,3.543,35.82
cell_001,919,486.64049063426916,0.693,3.684,36.07
cell_001,923,461.67112566654515,0.905,3.797,35.47
cell_001,925,387.9448232116571,1.001,3.726,37.02
cell_001,928,478.74627495910914,1.127,3.749,30.35
cell_001,943,449.61240935636596,0.927,3.783,36.69
cell_001,959,404.5619307225771,1.182,3.673,37.31
cell_001,961,421.5301760925309,0.984,3.706,33.23
cell_001,961,400.5663546956442,0.784,3.606,30.5
cell_001,973,402.6343074334673,1.018,3.628,34.13
cell_001,982,356.5586984998322,1.25,3.683,33.28
cell_001,996,364.10018267847005,0.642,3.718,32.02
cell_001,999,360.7518805939646,1.118,3.645,37.33
cell_002,21,1718.3584186534092,0.752,3.608,25.31
cell_002,25,1742.0808562425882,0.961,3.847,21.34
cell_002,27,1721.7271572797679,1.185,3.802,23.11
cell_002,53,1690.8816309308236,0.999,3.761,22.08
cell_002,57,1651.1581665875808,0.679,3.779,18.89
cell_002,62,1656.1576988555228,1.21,3.639,26.37
cell_002,63,1670.0140882312528,0.92,3.836,28.86
cell_002,74,1686.5895600098745,0.924,3.738,27.83
cell_002,78,1657.1816784288055,0.918,3.749,27.77
cell_002,78,1651.7502911421946,0.958,3.812,27.09
cell_002,102,1587.714997398949,0.998,3.623,31.84
cell_002,103,1659.2945286834695,1.08,3.658,25.77
cell_002,103,1580.486509499292,1.108,3.754,25.03
cell_002,112,1591.4262625748406,1.041,3.81,31.9
cell_002,114,1603.3934975658226,1.103,3.708,28.44
cell_002,120,1598.1908559605429,0.976,3.692,26.08
cell_002,122,1532.0122990545028,0.94,3.657,26.75
cell_002,131,1579.6515543519135,1.347,3.717,25.3
cell_002,131,1522.0259919375037,0.976,3.765,25.92
cell_002,138,1579.9395028346166,0.896,3.723,26.29
cell_002,158,1579.0297125866957,0.615,3.746,26.05
cell_002,159,1603.4314984736995,1.209,3.539,33.58
cell_002,172,1453.4558309883585,1.222,3.712,24.62
cell_002,178,1456.7878906729572,1.161,3.804,24.11
cell_002,178,1515.421084401154,1.11,3.77,23.74
cell_002,180,1520.2153263903901,0.878,3.721,22.68
cell_002,184,1462.4250465932087,1.093,3.707,29.1
cell_002,196,1474.210331653901,0.742,3.748,26.85
cell_002,198,1454.7734227687192,0.806,3.708,26.06
cell_002,201,1512.8195435675862,0.756,3.737,29.17
cell_002,202,1441.754761807159,1.049,3.733,23.49
cell_002,204,1439.9530123695347,0.449,3.572,24.69
cell_002,205,1504.3765435478986,0.828,3.621,30.37
cell_002,212,1440.479145131283,0.822,3.735,25.32
cell_002,218,1439.4060297973529,1.051,3.837,25.22
cell_002,219,1379.8510400641353,1.15,3.812,26.39
cell_002,220,1473.929768407495,0.834,3.732,27.89
cell_002,234,1376.6303027708875,0.905,3.676,26.27
cell_002,243,1463.6287859568051,1.031,3.719,25.09
cell_002,245,1455.3806925575436,0.991,3.714,27.1
cell_002,249,1394.4251136002092,1.186,3.613,24.25
cell_002,250,1403.0449692127554,0.985,3.804,28.71
cell_002,256,1390.0170844169668,1.253,3.602,29.87
cell_002,256,1355.0700613990455,0.746,3.743,26.3
cell_002,258,1410.602666323658,1.128,3.509,29.47
cell_002,269,1409.0680493772418,1.181,3.74,27.15
cell_002,271,1358.3170791978746,0.786,3.713,30.72
cell_002,275,1363.8239871244218,1.005,3.643,30.18
cell_002,297,1351.4770665024319,0.765,3.692,30.94
cell_002,299,1334.1555094931132,0.712,3.662,29.01
cell_002,308,1349.4077082774631,1.142,3.751,33.17
cell_002,309,1300.8181164564608,1.261,3.654,33.38
cell_002,314,1281.8632649923638,0.737,3.789,27.96
cell_002,321,1291.1133726570724,0.972,3.715,29.53
cell_002,335,1266.6171542204434,1.177,3.752,23.62
cell_002,345,1316.3333804795504,1.162,3.807,30.94
cell_002,347,1260.591992140419,0.966,3.841,27.96
cell_002,355,1230.4255370493088,0.875,3.694,27.61
cell_002,365,1239.6797913592718,0.843,3.738,30.6
cell_002,366,1254.862643438426,0.895,3.613,32.56
cell_002,367,1287.685079862696,0.807,3.666,30.35
cell_002,367,1200.8731211216643,1.03,3.648,29.08
cell_002,369,1245.610238868838,1.293,3.755,27.13
cell_002,376,1211.66396035854,1.271,3.684,27.35
cell_002,383,1186.9320563326808,1.237,3.688,24.87
cell_002,387,1200.2192520450612,0.983,3.686,27.57
cell_002,392,1224.9161524152746,1.05,3.723,28.59
cell_002,394,1157.003221022743,1.155,3.604,28.44
cell_002,399,1178.8556281121112,0.948,3.84,25.06
cell_002,404,1144.5722123186117,1.0,3.764,26.1
cell_002,415,1154.9959451704383,0.856,3.662,28.78
cell_002,417,1204.9245547160785,1.412,3.734,30.9
cell_002,418,1165.1365980907572,0.944,3.745,26.25
cell_002,418,1154.3395113763909,0.944,3.726,26.25
cell_002,419,1186.977756156644,0.868,3.653,26.23
cell_002,419,1104.8664734256943,1.059,3.718,38.74
cell_002,420,1143.1458211071133,0.541,3.762,31.89
cell_002,435,1168.485502336259,1.013,3.694,30.09
cell_002,438,1126.8671926023464,0.968,3.521,34.07
cell_002,441,1168.828874160603,1.0,3.795,30.25
cell_002,454,1047.277106226757,1.034,3.507,27.94
cell_002,466,1055.046696105313,0.902,3.66,28.8
cell_002,467,1063.566490552271,0.724,3.644,25.78
cell_002,479,1082.3888644402252,0.765,3.672,31.89
cell_002,483,1019.6015722303697,0.719,3.808,31.07
cell_002,501,1064.1104802528666,1.133,3.654,29.34
cell_002,509,1043.2345180630646,0.851,3.508,32.78
cell_002,510,1035.9890986088574,1.035,3.831,32.08
cell_002,518,952.9608079407872,1.079,3.786,27.62
cell_002,524,970.1217400624819,1.093,3.665,29.26
cell_002,525,971.088600332367,0.913,3.775,28.75
cell_002,525,988.5097192434667,0.834,3.816,28.48
cell_002,528,977.2221372095858,0.922,3.732,35.17
cell_002,531,960.7727488206713,0.921,3.738,32.31
cell_002,537,978.6151871568703,0.875,3.573,30.05
cell_002,544,949.0670085416202,0.939,3.688,30.11
cell_002,549,951.0413748924013,0.952,3.711,33.39
cell_002,550,983.7389898396021,1.151,3.451,31.68
cell_002,569,926.9419156354721,0.898,3.604,36.57
cell_002,588,868.4046864622236,1.246,3.777,25.69
cell_002,595,858.2974179972632,1.015,3.777,28.32
cell_002,605,868.8855105529464,1.088,3.729,30.18
cell_002,613,809.4449461121402,1.031,3.822,28.23
cell_002,616,898.2521316039754,1.254,3.599,32.16
cell_002,616,847.1269382054768,0.824,3.781,28.07
cell_002,620,859.9207862219608,1.31,3.847,31.22
cell_002,627,841.1880711860185,1.139,3.832,28.63
cell_002,639,811.6864291514188,0.994,3.713,35.2
cell_002,648,803.1922806521089,0.764,3.62,30.51
cell_002,656,775.679713614528,1.26,3.593,36.72
cell_002,663,771.2012679481422,0.716,3.604,36.52
cell_002,677,759.2581238631499,0.897,3.747,32.93
cell_002,677,778.5521736782438,1.122,3.72,31.56
cell_002,680,747.143335433552,1.021,3.742,30.26
cell_002,690,733.3838187190133,0.883,3.682,27.58
cell_002,690,741.0380424910879,1.177,3.738,31.46
cell_002,693,771.5021515799045,1.199,3.752,33.47
cell_002,699,731.402043589754,1.325,3.728,30.43
cell_002,703,757.7167618696113,0.727,3.702,35.05
cell_002,710,767.7513783972722,0.969,3.83,33.07
cell_002,712,624.5344732564316,0.917,3.651,28.62
cell_002,715,727.070182501108,0.823,3.615,29.35
cell_002,723,687.8436792953279,0.691,3.583,34.29
cell_002,726,736.8868526639933,1.341,3.719,31.52
cell_002,730,690.2728045421072,1.077,3.719,38.43
cell_002,735,732.2367261290601,1.194,3.623,30.13
cell_002,736,688.1184595873481,1.219,3.558,33.47
cell_002,748,651.572225559928,1.004,3.63,31.02
cell_002,754,641.1455453328614,0.862,3.799,34.51
cell_002,756,667.4449772711062,0.833,3.887,30.21
cell_002,769,657.334643872398,0.63,3.743,31.04
cell_002,772,655.3161906882897,0.937,3.651,34.6
cell_002,778,587.1416493832745,1.211,3.776,39.83
cell_002,778,610.0437320119461,1.366,3.797,36.39
cell_002,791,603.5058885028202,0.793,3.909,36.01
cell_002,791,564.1240271062894,0.977,3.62,31.69
cell_002,799,583.3017744294344,1.013,3.733,36.29
cell_002,802,549.3662935771549,1.32,3.825,39.76
cell_002,811,606.8298539701149,1.334,3.704,34.54
cell_002,817,574.1689730438534,1.356,3.567,31.6
cell_002,822,484.8009453881501,1.058,3.76,28.87
cell_002,826,563.8398993519048,1.103,3.663,35.53
cell_002,827,557.3492528763386,1.222,3.741,31.9
cell_002,828,495.3004328395934,1.25,3.74,31.73
cell_002,834,508.29573838835904,1.109,3.79,34.76
cell_002,852,519.6465688569309,0.774,3.69,36.03
cell_002,855,496.6140519429504,1.02,3.693,33.95
cell_002,864,460.18611522009866,0.911,3.762,33.56
cell_002,867,474.53744918235355,1.021,3.573,36.68
cell_002,872,487.6660384397502,1.512,3.735,38.74
cell_002,883,454.5077583085879,0.831,3.772,36.79
cell_002,884,430.10993480693145,0.99,3.857,30.26
cell_002,889,437.0169671122436,0.801,3.636,32.39
cell_002,893,471.80731991031644,1.01,3.658,35.23
cell_002,894,512.3335202478581,0.875,3.701,34.17
cell_002,896,426.32854793353516,0.953,3.72,33.98
cell_002,910,393.04728539421166,1.144,3.713,37.08
cell_002,912,455.54550598734346,1.337,3.919,30.03
cell_002,913,384.99497678158303,1.095,3.704,37.62
cell_002,913,389.4392551317052,1.472,3.776,33.54
cell_002,914,375.1933881422596,1.218,3.771,29.75
cell_002,914,383.14464225036227,0.965,3.651,35.89
cell_002,915,410.4790190248203,1.119,3.749,29.91
cell_002,921,386.1003433629327,0.861,3.639,29.66
cell_002,924,375.42030849764166,1.14,3.695,36.07
cell_002,925,393.37634785140875,1.201,3.84,34.31
cell_002,928,350.92278560602875,1.066,3.788,33.48
cell_002,930,403.7456906732399,0.989,3.589,37.42
cell_002,934,395.56342896048125,0.953,3.721,33.23
cell_002,935,364.9215488005998,1.122,3.799,33.52
cell_002,935,341.20486181336236,0.588,3.846,31.78
cell_002,937,390.3771555815142,0.557,3.796,34.62
cell_002,937,394.9756587828764,1.354,3.714,36.23
cell_002,938,390.4183528433679,0.986,3.567,33.98
cell_002,938,350.6168240213852,0.933,3.695,34.37
cell_002,941,416.1260774016931,0.915,3.651,33.86
cell_002,942,300.95232997806494,0.981,3.729,35.86
cell_002,944,380.7366445691097,1.204,3.646,31.23
cell_002,952,359.41562664613747,1.233,3.698,38.36
cell_002,955,359.91315942330897,1.285,3.61,37.47
cell_002,956,329.6643191943102,1.282,3.751,39.08
cell_002,963,261.4040970371759,0.754,3.662,37.21
cell_002,975,348.435833138792,1.348,3.672,32.43
cell_002,976,309.09140586997745,1.278,3.65,33.84
cell_002,979,353.65528837160554,0.666,3.681,37.57
cell_002,984,342.44064670463234,1.122,3.883,35.16
cell_002,985,325.03721890408366,0.891,3.671,31.34
cell_002,986,309.29294673496383,0.71,3.696,35.62
cell_002,991,265.96110402658337,1.162,3.725,29.33
cell_003,11,1723.7322679208717,1.162,3.584,32.5
cell_003,21,1738.4877168259052,0.958,3.875,27.35
cell_003,30,1658.2922446196776,0.921,3.742,26.78
cell_003,39,1720.0298057239797,1.147,3.746,26.46
cell_003,40,1729.4106348630514,0.833,3.717,21.18
cell_003,49,1676.9879052439192,1.338,3.733,26.83
cell_003,50,1658.5504210974962,0.867,3.737,22.29
cell_003,53,1704.3087858535146,1.105,3.7,24.88
cell_003,66,1636.5111447100178,0.893,3.579,27.31
cell_003,69,1687.4492664847241,0.734,3.765,19.63
cell_003,79,1637.9089815076125,1.049,3.678,26.0
cell_003,81,1635.0407882290806,0.942,3.68,27.4
cell_003,89,1627.355865427,0.704,3.569,24.82
cell_003,93,1627.7390981166247,0.633,3.754,27.44
cell_003,104,1660.2729238430159,1.29,3.657,24.4
cell_003,116,1572.436385245721,1.105,3.738,25.16
cell_003,118,1628.1173387251185,1.316,3.689,21.74
cell_003,122,1612.6995143483898,1.066,3.747,21.27
cell_003,123,1617.9200927717,1.347,3.839,22.67
cell_003,142,1507.7494363936255,0.968,3.782,24.23
cell_003,183,1502.4844933385236,0.88,3.675,28.51
cell_003,187,1440.4870476508845,0.654,3.82,23.5
cell_003,188,1483.4809237730485,0.795,3.788,30.06
cell_003,188,1448.0193542248157,1.195,3.769,26.95
cell_003,191,1468.4376205451254,0.759,3.758,24.38
cell_003,209,1482.8457904718246,0.988,3.685,29.78
cell_003,215,1485.5018376066862,1.643,3.759,24.12
cell_003,220,1474.135322974962,0.704,3.818,24.62
cell_003,226,1423.8157978171348,1.099,3.761,24.93
cell_003,231,1398.470938830052,1.271,3.731,24.55
cell_003,233,1381.0771851737834,0.999,3.89,30.37
cell_003,238,1375.9047147458932,1.045,3.857,28.39
cell_003,247,1359.7628517338458,0.832,3.795,28.78
cell_003,247,1423.023872585457,1.007,3.551,29.11
cell_003,250,1388.8277748676085,1.145,3.636,25.82
cell_003,254,1377.4820754456828,0.614,3.68,32.48
cell_003,256,1351.523161148367,1.303,3.693,27.18
cell_003,258,1426.9084127735534,1.033,3.704,27.27
cell_003,260,1423.009684189885,1.259,3.623,26.17
cell_003,265,1373.6631744074164,1.111,3.634,29.96
cell_003,265,1349.8196861474187,1.275,3.544,29.36
cell_003,269,1323.8416025635483,1.149,3.716,31.46
cell_003,270,1395.0976369445314,1.365,3.798,26.87
cell_003,279,1265.715904990257,0.823,3.721,33.4
cell_003,279,1313.5636874741072,1.062,3.781,31.84
cell_003,280,1316.5147279362955,0.883,3.71,27.04
cell_003,286,1307.9275615524941,1.139,3.77,27.2
cell_003,292,1279.0313731929432,0.899,3.843,23.88
cell_003,294,1356.8143923043158,0.928,3.645,30.11
cell_003,311,1268.9174936865377,0.86,3.741,26.98
cell_003,329,1239.1144143245938,1.172,3.702,24.12
cell_003,332,1256.302762250724,0.821,3.821,29.83
cell_003,339,1220.7422798599252,0.93,3.727,28.3
cell_003,350,1215.250162982461,0.996,3.729,26.97
cell_003,360,1224.9642419579286,0.824,3.597,28.38
cell_003,376,1192.1861788391866,1.557,3.722,32.25
cell_003,380,1181.780384032192,0.847,3.744,30.78
cell_003,384,1208.097026115547,1.164,3.68,32.24
cell_003,385,1157.9278332605832,1.272,3.651,29.22
cell_003,401,1150.1722255156624,0.815,3.655,31.59
cell_003,415,1088.6726685476333,1.056,3.513,27.56
cell_003,426,1126.3198653348466,0.955,3.694,29.3
cell_003,433,1064.3303996935115,0.962,3.557,23.76
cell_003,437,1078.6168249112854,0.922,3.835,24.27
cell_003,439,1081.0830877239082,1.141,3.771,29.73
cell_003,439,1057.3453693204747,0.799,3.677,33.16
cell_003,454,1043.7169479106376,0.976,3.552,31.0
cell_003,454,1057.7484128000165,0.549,3.561,30.3
cell_003,457,1008.2459967009547,0.908,3.493,25.56
cell_003,468,1137.7405099892317,1.123,3.813,30.99
cell_003,473,1053.2874013724495,1.203,3.7,27.68
cell_003,479,995.7134591453103,0.962,3.756,28.82
cell_003,481,1001.7920626382522,1.127,3.807,29.4
cell_003,483,983.1032357046937,0.568,3.65,34.4
cell_003,499,944.4313209410014,0.81,3.582,33.55
cell_003,507,977.2509557677423,0.811,3.664,30.11
cell_003,509,994.4225366003061,1.255,3.693,31.71
cell_003,512,970.2312912669041,0.803,3.654,30.22
cell_003,513,972.3544553364904,1.042,3.82,36.18
cell_003,513,966.5763212058282,1.014,3.76,28.77
cell_003,521,952.9438119577843,1.259,3.601,32.44
cell_003,525,1005.1100675813011,0.936,3.663,35.4
cell_003,528,941.9210239057494,0.967,3.739,24.78
cell_003,533,903.7973157877815,1.034,3.812,26.83
cell_003,533,918.3758009222031,1.354,3.7,32.73
cell_003,546,887.5535784010702,1.131,3.706,25.15
cell_003,549,968.5162486738159,0.835,3.697,34.76
cell_003,552,942.8789961772209,0.908,3.774,30.49
cell_003,553,874.2227423092327,1.08,3.614,30.94
cell_003,568,863.9552587537172,0.857,3.788,27.46
cell_003,579,867.1238720899114,1.192,3.657,36.26
cell_003,590,795.0482163890966,0.942,3.822,30.07
cell_003,597,805.9542336758385,0.939,3.627,33.13
cell_003,597,867.4824470306758,0.875,3.532,29.99
cell_003,600,837.7784809786086,0.846,3.68,28.67
cell_003,601,826.3298546417036,0.802,3.641,27.28
cell_003,633,714.3527543880364,0.931,3.721,30.13
cell_003,637,787.920088815754,1.076,3.653,33.67
cell_003,640,797.8427526930077,0.811,3.774,34.61
cell_003,659,779.7827585325697,0.871,3.74,28.47
cell_003,663,749.2308894932027,0.772,3.797,36.83
cell_003,665,743.7914158757674,1.106,3.61,30.4
cell_003,667,693.6907020131902,1.101,3.658,29.29
cell_003,670,686.8643743861252,1.275,3.639,29.55
cell_003,684,679.7392321147858,1.144,3.66,30.37
cell_003,694,701.2360389851494,1.298,3.629,36.31
cell_003,709,702.0694918568619,0.728,3.659,36.11
cell_003,716,659.7984929894254,0.941,3.723,29.93
cell_003,749,562.3027477443733,0.904,3.724,32.23
cell_003,753,596.5851718302305,0.95,3.707,34.19
cell_003,754,557.7797613103362,1.096,3.646,35.6
cell_003,757,570.5987523924863,0.883,3.642,30.44
cell_003,758,579.5299781341423,1.026,3.688,26.06
cell_003,759,565.2301205364809,0.972,3.718,32.46
cell_003,762,578.533042854896,1.354,3.663,33.4
cell_003,767,540.9776112466183,1.288,3.779,31.35
cell_003,778,579.9087577414269,1.099,3.697,32.5
cell_003,789,528.6737341396394,0.762,3.686,34.94
cell_003,798,537.4622823856669,0.954,3.641,31.02
cell_003,806,500.72875988916934,0.472,3.811,28.69
cell_003,809,474.20835924479286,0.974,3.46,35.24
cell_003,809,492.6533367502395,1.002,3.504,34.48
cell_003,830,494.14609579266136,0.765,3.726,35.48
cell_003,833,409.1805589592901,1.137,3.726,31.26
cell_003,843,415.30359615406377,1.141,3.678,36.81
cell_003,845,371.7318702968975,0.926,3.725,33.03
cell_003,851,495.3796643016709,0.818,3.793,34.63
cell_003,864,380.19595242026804,0.961,3.827,31.62
cell_003,871,404.2905373248318,1.102,3.496,34.48
cell_003,872,424.91153565814335,0.699,3.742,34.05
cell_003,876,391.6028627249742,1.188,3.727,36.03
cell_003,878,413.10307798749267,0.77,3.616,33.69
cell_003,891,391.43246096452435,0.886,3.733,37.94
cell_003,896,365.3378834516103,1.145,3.82,32.79
cell_003,906,339.7980824588043,1.112,3.704,30.89
cell_003,909,345.55959501686374,0.888,3.741,35.14
cell_003,912,338.8757082961219,1.38,3.633,33.81
cell_003,912,346.5820851925186,0.552,3.623,35.66
cell_003,915,318.7558056580238,1.144,3.735,32.35
cell_003,917,309.1990889593286,0.851,3.73,35.55
cell_003,926,319.0474634258822,0.805,3.72,35.96
cell_003,926,309.3809173417001,0.972,3.524,31.49
cell_003,926,245.4609343452277,1.32,3.727,37.31
cell_003,929,295.43496710096434,0.781,3.649,34.72
cell_003,933,329.7942242055209,0.837,3.769,32.93
cell_003,934,283.3325610740536,0.951,3.652,42.28
cell_003,937,298.2651468165956,1.146,3.728,35.23
cell_003,938,295.3274128324105,0.861,3.66,34.4
cell_003,946,282.4073966566272,1.087,3.599,31.65
cell_003,950,257.3489355627095,0.805,3.632,39.05
cell_003,953,250.2736173350878,1.048,3.755,33.78
cell_003,963,210.21789006999987,0.951,3.64,36.73
cell_003,964,297.003751013383,1.031,3.708,37.48
cell_003,965,234.6926597612594,0.989,3.74,37.11
cell_003,965,278.2912201590003,0.948,3.504,39.45
cell_003,974,235.34143337314327,1.074,3.73,39.34
cell_003,984,213.46680657538755,0.718,3.563,37.87
cell_003,987,168.98875556998087,1.085,3.71,35.52
cell_004,2,1728.2270910829448,0.929,3.663,25.22
cell_004,3,1827.8480814042714,0.887,3.67,24.0
cell_004,9,1813.4263187162508,1.198,3.795,23.02
